Category,Examples
To-Do List Categories,
Work/Professional Tasks,"Meetings, deadlines, emails, team tasks"
Personal Tasks,"Errands, household chores, family obligations"
Health and Wellness,"Exercise, meal planning, health appointments"
Education/Learning,"Study schedules, skill-building, reading lists"
Financial Tasks,"Bill payments, budget tracking, savings reviews"
Social and Recreational,"Meetups, birthdays, vacations"
Creative Projects,"Art, writing, DIY projects, content creation"
Long-term Goals,"Career planning, fitness milestones, major events"
Personal Project Template Categories,
Goal-Oriented Projects,"SMART goals, habit trackers, progress logs"
Professional Development,"Career roadmaps, networking trackers, skill plans"
Event Planning,"Wedding checklists, travel itineraries, party planning"
Creative Projects,"Writing templates, design workflows, art schedules"
Home and Organization,"Cleaning schedules, renovation trackers, gardening"
Health and Fitness,"Workout plans, meal prep, habit trackers"
Education and Learning,"Course syllabi, study schedules, exam prep"
Tech/Development Projects,"Software sprints, bug tracking, coding projects"
Financial Management,"Budgeting, debt repayment, savings goals"
Miscellaneous Life Goals,"Bucket lists, vision boards, gratitude journals"
